figure,slug,sources,n,placement,note
Fig 1,fig1_setting,"closed form D(a), recovered from seeds (float64)","(b) 2 runs: a=1.5 seed 0 (solves, dense-verified); a=1.0 seed 38 (best monotone, 91/200 errors)",single-column-pair,fold depth is the exact closed form; sign-change counts asserted at render (2 vs 1)
Fig 2,fig2_exclusions,exclusion_table.csv,"8 unreached, 4 found",full-width,"log strip charts; dagger marks the two reversals (distance, margin)"
Fig 3,fig3_r_collapse,"r_pooled.csv, r_adamw.csv, r_families_certified.csv, ghat_certified_all.csv","(a) 3,150  (b) Adam 180 / AdamW 240 / SGD 180  (c) A 2,910 / q2 360 / q1 360 / B 1,000",full-width,"Clopper-Pearson on rates; 1,500-resample bootstrap on AUC; Fisher exact two-sided on (b)"
Fig 4,fig4_metric_check,"fold1d_sweep.csv, fold1d_refine.csv, ghat_certified_all.csv, metric_check.csv","2,400",full-width,"certified Ĝ; 10-90% crossings (0.025 bins): continuous [0.055,0.342], binary [0.330,0.429]; binning sensitivity in metric_check_binning.csv"
Fig 5,fig5_budget_law,"onset_law_extended.csv, budget_alpha.csv","(a) 6 bracketed cells, 40 seeds each  (b) 8 budgets, 30 seeds each",full-width,"held-out: fit on 4 smallest, predict 128k -> [0.01403,0.02497], measured 0.030"
Fig 6,fig6_four_family,beta_law_points.csv,"5 points; cells per family: q0.667=3, q1=4, q2=4, familyA=6, q4=3",full-width,error bars +-0.114 (>=4 cells) / +-0.171 (3 cells); effective-beta alt 1.0547
Fig 7,fig7_family_b,"onset_law_extended.csv, onset_family_b.csv, blockK_family_b_normalised.csv","(a) A 6 cells / B 2 bracketed of 3  (b) 5 alpha values, 200 runs each",full-width,compensation exponent -0.471; product range 5.1x vs G* 20x
Fig 8,fig8_link,"gelu_scale_*.csv, monotonic_zero.md","200 per arm; floor n=5,580",single-column,Clopper-Pearson 95%; up-vs-down Fisher one-sided p=1.5e-6
Fig 9,fig9_expressivity,"blockA5d_k1_perfect_fraction.csv, blockA5d_k1_controls.csv, blockA5d_k1_prediction.md","20 seeds per cell (per a, budget)",full-width,Clopper-Pearson 95%; perfect = zero errors on 20k uniform and 20k stratified held-out
Fig 10,fig10_mechanism,"mechanism_branch_a130.csv, mechanism_trajectories_a130.csv, wi_crossing_runs.csv, wi_per_a_certified.csv, blockE_intervene.csv",branch 33 |w2| points; 145 crossings; E arms 37 intervened each,full-width,certified Ĝ; branch = frozen Block B minimisation; Clopper-Pearson 95% in (b)
