id,block,registration_file,registration_commit,verdict,original_verdict_text,scored_in,counted_in_existing_64,note,census_round,changed_from,verdict_status,non_directional,scoring,prediction_id
P-W1,early census 08-23 (width),results/width_prediction.md,6956128,FAIL,FAIL: advantage gone by width 8 — failed at width 8 as written (GELU-ReLU still significant); dead units do not rescue it,results/registered_predictions.md:36,yes,,2026-09-23,,as previously scored,False,registered rule,P-W1
P-W2,early census 08-23 (width),results/width_prediction.md,6956128,PASS,PASS: two-phase decay shape borne out; measured transition width 6 (vs tanh) / 12 (vs ReLU family),results/registered_predictions.md:37,yes,,2026-09-23,,as previously scored,False,registered rule,P-W2
P-W3,early census 08-23 (width),results/width_prediction.md,6956128,PASS,PASS: large-width ceiling borne out exactly: all five activations 100/100 at widths 16/24/32,results/registered_predictions.md:38,yes,,2026-09-23,,as previously scored,False,registered rule,P-W3
P-W4,early census 08-23 (width),results/width_prediction.md,6956128,PASS,PASS: registered non-implications held; no registered falsifier occurred,results/registered_predictions.md:39,yes,,2026-09-23,,as previously scored,False,registered rule,P-W4
P-barrier,early census 08-23 (basin),results/basin_prediction.md,e15067b,FAIL,FAIL: Arrhenius premise falsified: MEP barriers exactly 0.000; linear proxy anti-correlates,results/registered_predictions.md:40,yes,"gap_results.md:137 scored this ""borne out (1,065->10->1)""; later falsified by barrier_results.md:44-55 (MEP barriers 0.000). Row verdict FAIL used.",2026-09-23,,as previously scored,False,registered rule,P-barrier
P-basin,early census 08-23 (basin),results/basin_prediction.md,e15067b,FAIL,FAIL: basin-volume account not borne out,results/registered_predictions.md:41,yes,,2026-09-23,,as previously scored,False,registered rule,P-basin
P-calibration,early census 08-23 (basin),results/basin_prediction.md,e15067b,FAIL,FAIL: calibration prediction not borne out,results/registered_predictions.md:42,yes,,2026-09-23,,as previously scored,False,registered rule,P-calibration
P-onset,early census 08-23 (basin),results/basin_prediction.md,e15067b,FAIL,FAIL: early onset formulation superseded/falsified,results/registered_predictions.md:43,yes,"gap_results.md:136 scored this ""untestable as stated""; registered_predictions.md row says FAIL. Row verdict used; arguably UNRESOLVED.",2026-09-23,,as previously scored,False,registered rule,P-onset
P-2a,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: onsets at B=4k/64k bracketed and ordered as registered,results/registered_predictions.md:44,yes,,2026-09-23,,as previously scored,False,registered rule,P-2a
P-2a-geom,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,unresolved: geometric variant not separately scored,results/registered_predictions.md:45,yes,,2026-09-23,,as previously scored,False,registered rule,P-2a-geom
P-2a-onset,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: onset moves with budget in the registered direction,results/registered_predictions.md:46,yes,,2026-09-23,,as previously scored,False,registered rule,P-2a-onset
P-2b,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,FAIL: registered barrier/energetic reading not borne out,results/registered_predictions.md:47,yes,"Code P-2b is arrhenius_prediction.md:189 (pwl family onset moves with budget), falsified in family_b_budget.md:1,31; the row text (""barrier/energetic reading"") reads like un-coded Arrhenius 2b, which is recorded separately below as arr-2b.",2026-09-23,,as previously scored,False,registered rule,P-2b
P-2c,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,"PASS: termination is a budget cutoff: terminal |w2| grows 3.15->48.48, rate 0.000->0.925",results/registered_predictions.md:48,yes,,2026-09-23,,as previously scored,False,registered rule,P-2c
P-3b,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,FAIL: overlap prediction fails,results/registered_predictions.md:49,yes,"Scoring data also in results/overlap_prediction.csv (329784a, 2026-09-04), which holds predicted and observed values together -- a scoring artifact, not a separate registration.",2026-09-23,,as previously scored,False,registered rule,P-3b
P-4a,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,FAIL: no basin peak near |w2|~5,results/registered_predictions.md:50,yes,"Same statement also registered un-coded as Arrhenius ""4a"" (arrhenius_prediction.md:19); not counted twice.",2026-09-23,,as previously scored,False,registered rule,P-4a
P-4b,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,FAIL: no crossing of the two effects; half-widths flat or rising,results/registered_predictions.md:51,yes,,2026-09-23,,as previously scored,False,registered rule,P-4b
P-4c,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,FAIL: peak does not move with init scale (there is no peak),results/registered_predictions.md:52,yes,,2026-09-23,,as previously scored,False,registered rule,P-4c
P-EoS-1b,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: edge-of-stability signature present as registered,results/registered_predictions.md:53,yes,,2026-09-23,,as previously scored,False,registered rule,P-EoS-1b
P-EoS-1c,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: sharpness near 2/eta at termination,results/registered_predictions.md:54,yes,,2026-09-23,,as previously scored,False,registered rule,P-EoS-1c
P-EoS-1d,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,unresolved: not separately adjudicated,results/registered_predictions.md:55,yes,,2026-09-23,,as previously scored,False,registered rule,P-EoS-1d
P-EoS-2b,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,unresolved: not separately adjudicated,results/registered_predictions.md:56,yes,,2026-09-23,,as previously scored,False,registered rule,P-EoS-2b
P-SGD,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PARTIAL,PASS: SGD arm ran and was scored,results/registered_predictions.md:57,yes,"DISCREPANCY: sgd_law_results.md:2,21-37 scores this ""OUTSIDE the registered band ... DIRECTIONAL-ONLY ... not a qualified success"" (measured -0.3255 vs band [-0.5973,-0.3611]). Row verdict PASS kept as instructed, but by the registration it is at best PARTIAL/FAIL.",2026-09-23,PASS,"CORRECTED 2026-09-23: sgd_law_results.md:21-37 scores it OUTSIDE the registered band, DIRECTIONAL-ONLY by the rule fixed in advance; the summary row PASS recorded only that the arm ran",False,registered rule,P-SGD
P-abs,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,FAIL: absolute-scale reading not borne out,results/registered_predictions.md:58,yes,Consistent with geometric_transfer.md:99-101 (q4 exponent +0.0056 vs predicted -0.5750).,2026-09-23,,as previously scored,False,registered rule,P-abs
P-alpha,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: terminal |w2| follows a power law in B over 1k-160k (alpha measured before any onset),results/registered_predictions.md:59,yes,,2026-09-23,,as previously scored,False,registered rule,P-alpha
P-beta-law,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,"PASS: extreme-pair ratio 1.661 vs predicted 2.000, inside the +-25% band",results/registered_predictions.md:60,yes,,2026-09-23,,as previously scored,False,registered rule,P-beta-law
P-composition,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: composition route scored as registered,results/registered_predictions.md:61,yes,,2026-09-23,,as previously scored,False,registered rule,P-composition
P-cost,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,unresolved: DEMOTED before running: resolution +-0.431 exceeds the band half-width 0.26; cannot adjudicate,results/registered_predictions.md:62,yes,Demoted before running (arrhenius_prediction.md:487-495).,2026-09-23,,as previously scored,False,registered rule,P-cost
P-crit-1a,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: terminal points are not critical points — registered and confirmed,results/registered_predictions.md:63,yes,,2026-09-23,,as previously scored,False,registered rule,P-crit-1a
P-crit-1b,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: lambda_min<0 found in 6 cases; reported as our error per the registration,results/registered_predictions.md:64,yes,,2026-09-23,,as previously scored,False,registered rule,P-crit-1b
P-flip,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,"PASS: budget-dependent flip found, significant at both ends",results/registered_predictions.md:65,yes,,2026-09-23,,as previously scored,False,registered rule,P-flip
P-joint,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,"PASS: joint criterion: adequate |w2| necessary but not sufficient, signed mean +0.100",results/registered_predictions.md:66,yes,,2026-09-23,,as previously scored,False,registered rule,P-joint
