id,block,registration_file,registration_commit,verdict,original_verdict_text,scored_in,counted_in_existing_64,note,kind,evidence,census_round
B1-decision-rule,Block 1 audit,results/conditional_audit_prediction.md,6b17508,PASS,"Registered decision rule: the placement transition is identifiable without excluding any lower-loss candidate, and 1c, 1e and the frozen search agree within their numerical uncertainty (stop if a discarded candidate beats the retained branch within 0.5 of a threshold; certified differs from reported by > 0.05 in |w2|; or basin exchange). Scored: decision rule met at all 12 thresholds (6 a x glob/solve); no stop condition fired.",results/conditional_audit.md:9-12,no,"JUDGEMENT (kind): an audit of the method, not an outcome prediction; if it had failed, 1c would have redefined the threshold and every downstream number been recomputed (conditional_audit_prediction.md:51-53), so classed as a validity gate. Could equally be counted as a prediction (PASS). The three stop conditions are folded into this row (none fired). Addendum 7d94ebf (before any 1d computation) changed 1d's scope only.",validity gate,results/conditional_audit.md:9-18 (verdict + stop-condition table); paper/WRITER_INPUTS_v4.md:31; scored in 89b9da2,2026-09-24
B1-1d,Block 1 audit,results/conditional_audit_prediction.md,7d94ebf,,"1d (objective check), extended by the addendum to 50 seeds at a = 1.30/1.45/1.60: 'No prediction is attached; 1d is a check on the choice of objective.' Reported: per-seed certified R_glob median 1.06x the quadrature value (IQR 0.99-1.12, range 0.87-1.22), quadrature at the 30-32nd percentile, one switch per seed.",results/conditional_audit.md:80-92,no,"1d first registered in 6b17508 (a = 1.30/1.45, report only); addendum 7d94ebf extended it. Input to own_threshold S1-S3.",reported-no-criterion,"results/conditional_audit_prediction.md:40-42,70-78; results/conditional_audit.md:84; cond_certified_seeds_summary.csv; scored b2e4d7a, bias note f5034df",2026-09-24
B1-fullscan,Block 1 audit,results/conditional_audit_prediction.md,7d94ebf,,"Addendum: certified coarse scan across the full scale range at a = 1.30 (no criterion). Reported: one continuous branch at every |w2| from 1.5 to 11, one gap sign change (4.5-5.0), competitor margins +0.0031 to +0.0126.",paper/WRITER_INPUTS_v4.md:51-54,no,,reported-no-criterion,results/conditional_audit_prediction.md:80-83; paper/WRITER_INPUTS_v4.md:51-54; cond_scan_certified_a130.csv,2026-09-24
B4-D3,Block 4 (fixed scale),results/fixed_scale_prediction.md,888344d,,"D3 instantaneous direction: 'exploratory only, no prediction' (sign of first dG against level, by stratum).",,no,,reported-no-criterion,results/fixed_scale_prediction.md:46-47; paper/WRITER_INPUTS_v4.md:283-284,2026-09-24
B4-gate-decisions,Block 4 (fixed scale),results/fixed_scale_prediction.md,888344d,PASS,"Stop and report if the rescaling changes any decision at the moment of intervention (checked on every replay). Scored: decisions preserved in 8,688 of 8,688 replays.",results/fixed_scale_block4.csv col decisions_preserved,no,,validity gate,"results/fixed_scale_prediction.md:70; results/fixed_scale_block4.csv col decisions_preserved (8,688 True); paper/WRITER_INPUTS_v4.md:264-265",2026-09-24
B4-gate-k1,Block 4 (fixed scale),results/fixed_scale_prediction.md,888344d,PASS,"Stop and report if the 'preserved' k = 1 replay does not reproduce the reference to 1e-10 over its first 25 steps. The original check was ill-posed and replaced before any run (amendment 1, 0f9f67e); the amended check FIRED on launch (0.105) because its reference did not freeze w2 under Adam; replaced by a true-freeze reference (amendment 2, 10c1ea5) before any outcome; then max difference 0.0.",results/fixed_scale_prediction.md:78-99,no,"JUDGEMENT: scored PASS as amended. As registered at launch the gate fired; its registered consequence (stop and report) was followed, and the amendment changed only the check's reference, not any outcome criterion. Alternative: FAIL (the gate fired) with the test proceeding under an amended gate.",validity gate,results/fixed_scale_prediction.md:71-110; results/fixed_scale_block4.csv col k1_check_max_diff (max 0.0); paper/WRITER_INPUTS_v4.md:242-254,2026-09-24
B5-width,Block 5 (retention),results/fixed_scale_prediction.md,888344d,,"'Reported without a prediction': 10-90% width and its dependence on starting state. Reported: width 0.27 (0.94-1.22); by starting-state split width 0.26-0.28, x50 moves by at most 0.03.",,no,,reported-no-criterion,results/fixed_scale_prediction.md:63-64; paper/WRITER_INPUTS_v4.md:630-632; fixed_scale_block5_splits.csv,2026-09-24
B5-gate-decisions,Block 5 (retention),results/fixed_scale_prediction.md,888344d,PASS,"Stop and report if the rescaling changes any decision (every replay). Scored: decisions preserved in 2,832 of 2,832 replays.",results/fixed_scale_block5.csv col decisions_preserved,no,,validity gate,"results/fixed_scale_block5.csv col decisions_preserved (2,832 True); paper/WRITER_INPUTS_v4.md:622",2026-09-24
B5-gate-k1,Block 5 (retention),results/fixed_scale_prediction.md,888344d,PASS,"Amended k = 1 check (true-freeze reference, 10c1ea5), tolerance 1e-10. Scored: difference 0.0.",paper/WRITER_INPUTS_v4.md:622,no,Block 5 ran after amendment 2; the gate did not fire here.,validity gate,results/fixed_scale_block5.csv col k1_check_max_diff (max 0.0); paper/WRITER_INPUTS_v4.md:622,2026-09-24
B4h-gate-repro,Block 4 horizon extension,results/fixed_scale_horizon_prediction.md,cdfbf9d,PASS,"Stop and report if the 4,000-step outcome does not reproduce Block 4 exactly. The check FIRED (False on 3,258 rows): Block 4's stored G was read with a non-round-trip CSV parser; amendment 1 (4dbb987, before any Q1/Q2/S1/S2 scoring) changed only the parsing, tolerance still zero. Amended check: 3,258 rows, 0 placement mismatches, 0 G not bit-identical.",results/fixed_scale_horizon_prediction.md:89-90,no,JUDGEMENT: PASS as amended (same reasoning as B4-gate-k1). Alternative: FAIL (the gate fired as registered).,validity gate,results/fixed_scale_horizon_prediction.md:57-97; results/fixed_scale_horizons_check.csv col reproduced (True); paper/WRITER_INPUTS_v4.md:417-425,2026-09-24
